id,gameId,offense,offenseConference,defense,defenseConference,driveNumber,scoring,startPeriod,startYardline,startYardsToGoal,startTime,endPeriod,endYardline,endYardsToGoal,endTime,elapsed,plays,yards,driveResult,isHomeOffense,startOffenseScore,startDefenseScore,endOffenseScore,endDefenseScore
4017528002,401752800,Utah,Big 12,UCLA,Big Ten,1,True,1,75,75,"{'minutes': 15, 'seconds': 0}",1,3,3,"{'minutes': 0, 'seconds': 0}","{'minutes': 4, 'seconds': 11}",11,75,TD,False,0,0,6,0
4017528004,401752800,UCLA,Big Ten,Utah,Big 12,2,False,1,23,77,"{'minutes': 10, 'seconds': 40}",1,60,40,"{'minutes': 6, 'seconds': 40}","{'minutes': 4, 'seconds': 3}",10,37,DOWNS,True,0,6,0,6
4017528005,401752800,Utah,Big 12,UCLA,Big Ten,3,True,1,60,60,"{'minutes': 6, 'seconds': 37}",1,3,3,"{'minutes': 0, 'seconds': 0}","{'minutes': 5, 'seconds': 10}",10,60,TD,False,6,0,13,0
4017528007,401752800,UCLA,Big Ten,Utah,Big 12,4,False,1,25,75,"{'minutes': 1, 'seconds': 24}",2,11,89,"{'minutes': 15, 'seconds': 0}","{'minutes': 1, 'seconds': 29}",3,-14,PUNT,True,0,13,0,13
4017528008,401752800,Utah,Big 12,UCLA,Big Ten,5,True,2,49,49,"{'minutes': 14, 'seconds': 46}",2,3,3,"{'minutes': 0, 'seconds': 0}","{'minutes': 2, 'seconds': 12}",5,49,TD,False,13,0,20,0
40175280010,401752800,UCLA,Big Ten,Utah,Big 12,6,True,2,25,75,"{'minutes': 12, 'seconds': 43}",2,97,3,"{'minutes': 0, 'seconds': 0}","{'minutes': 5, 'seconds': 58}",10,75,TD,True,0,20,7,20
40175280012,401752800,Utah,Big 12,UCLA,Big Ten,7,False,2,96,96,"{'minutes': 6, 'seconds': 39}",2,48,48,"{'minutes': 3, 'seconds': 15}","{'minutes': 3, 'seconds': 32}",8,48,PUNT,False,20,7,20,7
40175280013,401752800,UCLA,Big Ten,Utah,Big 12,8,False,2,6,94,"{'minutes': 3, 'seconds': 9}",2,32,68,"{'minutes': 1, 'seconds': 6}","{'minutes': 2, 'seconds': 8}",7,26,PUNT,True,7,20,7,20
40175280014,401752800,Utah,Big 12,UCLA,Big Ten,9,False,2,70,70,"{'minutes': 1, 'seconds': 0}",3,36,36,"{'minutes': 0, 'seconds': 4}","{'minutes': 1, 'seconds': 1}",9,34,FG,False,20,7,20,7
40175280016,401752800,UCLA,Big Ten,Utah,Big 12,10,True,3,25,75,"{'minutes': 14, 'seconds': 59}",3,72,28,"{'minutes': 12, 'seconds': 42}","{'minutes': 2, 'seconds': 22}",7,47,FG,True,7,23,10,26
40175280018,401752800,Utah,Big 12,UCLA,Big Ten,11,True,3,80,80,"{'minutes': 12, 'seconds': 30}",3,3,3,"{'minutes': 0, 'seconds': 0}","{'minutes': 9, 'seconds': 44}",21,80,TD,False,23,10,30,13
40175280020,401752800,UCLA,Big Ten,Utah,Big 12,12,False,3,22,78,"{'minutes': 2, 'seconds': 45}",4,35,65,"{'minutes': 15, 'seconds': 0}","{'minutes': 2, 'seconds': 51}",7,13,PUNT,True,10,30,10,30
40175280021,401752800,Utah,Big 12,UCLA,Big Ten,13,True,4,81,81,"{'minutes': 14, 'seconds': 53}",4,3,3,"{'minutes': 0, 'seconds': 0}","{'minutes': 4, 'seconds': 49}",10,81,TD,False,30,10,36,10
40175280023,401752800,UCLA,Big Ten,Utah,Big 12,14,False,4,25,75,"{'minutes': 10, 'seconds': 4}",4,46,54,"{'minutes': 8, 'seconds': 45}","{'minutes': 1, 'seconds': 28}",5,21,INT,True,10,36,10,36
40175280024,401752800,Utah,Big 12,UCLA,Big Ten,15,True,4,29,29,"{'minutes': 8, 'seconds': 35}",4,3,3,"{'minutes': 0, 'seconds': 0}","{'minutes': 2, 'seconds': 8}",4,29,TD,False,36,10,43,10
40175280026,401752800,UCLA,Big Ten,Utah,Big 12,16,False,4,25,75,"{'minutes': 6, 'seconds': 28}",4,25,75,"{'minutes': 4, 'seconds': 38}","{'minutes': 1, 'seconds': 57}",3,0,PUNT,True,10,43,10,43
40175280027,401752800,Utah,Big 12,UCLA,Big Ten,17,False,4,73,73,"{'minutes': 4, 'seconds': 28}",4,110,110,"{'minutes': 0, 'seconds': 0}","{'minutes': 4, 'seconds': 32}",7,37,Uncategorized,False,43,10,43,10
4017568871,401756887,Utah,Big 12,Cal Poly,Big Sky,1,True,1,25,75,"{'minutes': 15, 'seconds': 0}",1,100,0,"{'minutes': 13, 'seconds': 8}","{'minutes': 1, 'seconds': 52}",6,75,TD,True,0,0,7,0
4017568872,401756887,Cal Poly,Big Sky,Utah,Big 12,2,False,1,76,76,"{'minutes': 13, 'seconds': 8}",1,66,66,"{'minutes': 10, 'seconds': 20}","{'minutes': 2, 'seconds': 48}",4,10,PUNT,False,0,7,0,7
4017568873,401756887,Utah,Big 12,Cal Poly,Big Sky,3,False,1,16,84,"{'minutes': 10, 'seconds': 20}",1,22,78,"{'minutes': 8, 'seconds': 42}","{'minutes': 1, 'seconds': 38}",3,6,PUNT,True,7,0,7,0
4017568874,401756887,Cal Poly,Big Sky,Utah,Big 12,4,True,1,69,69,"{'minutes': 8, 'seconds': 42}",1,54,54,"{'minutes': 7, 'seconds': 15}","{'minutes': 1, 'seconds': 27}",3,15,INT TD,False,0,7,0,14
4017568875,401756887,Cal Poly,Big Sky,Utah,Big 12,5,True,1,75,75,"{'minutes': 7, 'seconds': 15}",1,12,12,"{'minutes': 4, 'seconds': 21}","{'minutes': 2, 'seconds': 54}",7,63,FG,False,0,14,3,14
4017568876,401756887,Utah,Big 12,Cal Poly,Big Sky,6,True,1,35,65,"{'minutes': 4, 'seconds': 21}",2,100,0,"{'minutes': 14, 'seconds': 20}","{'minutes': 5, 'seconds': 1}",12,65,TD,True,14,3,21,3
4017568877,401756887,Cal Poly,Big Sky,Utah,Big 12,7,False,2,75,75,"{'minutes': 14, 'seconds': 20}",2,67,67,"{'minutes': 12, 'seconds': 52}","{'minutes': 1, 'seconds': 28}",3,8,PUNT,False,3,21,3,21
4017568878,401756887,Utah,Big 12,Cal Poly,Big Sky,8,False,2,24,76,"{'minutes': 12, 'seconds': 52}",2,22,78,"{'minutes': 11, 'seconds': 25}","{'minutes': 1, 'seconds': 27}",3,-2,PUNT,True,21,3,21,3
4017568879,401756887,Cal Poly,Big Sky,Utah,Big 12,9,True,2,68,68,"{'minutes': 11, 'seconds': 25}",2,29,29,"{'minutes': 7, 'seconds': 4}","{'minutes': 4, 'seconds': 21}",10,39,FG,False,3,21,6,21
40175688710,401756887,Utah,Big 12,Cal Poly,Big Sky,10,False,2,25,75,"{'minutes': 7, 'seconds': 4}",2,59,41,"{'minutes': 3, 'seconds': 13}","{'minutes': 3, 'seconds': 51}",8,34,PUNT,True,21,6,21,6
40175688711,401756887,Cal Poly,Big Sky,Utah,Big 12,11,False,2,95,95,"{'minutes': 3, 'seconds': 13}",2,81,81,"{'minutes': 1, 'seconds': 47}","{'minutes': 1, 'seconds': 26}",5,14,INT,False,6,21,6,21
40175688712,401756887,Utah,Big 12,Cal Poly,Big Sky,12,True,2,99,1,"{'minutes': 1, 'seconds': 47}",2,100,0,"{'minutes': 1, 'seconds': 44}","{'minutes': 0, 'seconds': 3}",1,1,TD,True,21,6,28,6
40175688713,401756887,Cal Poly,Big Sky,Utah,Big 12,13,False,2,75,75,"{'minutes': 1, 'seconds': 44}",2,72,72,"{'minutes': 0, 'seconds': 39}","{'minutes': 1, 'seconds': 5}",3,3,PUNT,False,6,28,6,28
40175688714,401756887,Utah,Big 12,Cal Poly,Big Sky,14,True,2,70,30,"{'minutes': 0, 'seconds': 39}",2,100,0,"{'minutes': 0, 'seconds': 3}","{'minutes': 0, 'seconds': 36}",6,30,TD,True,28,6,35,6
40175688715,401756887,Cal Poly,Big Sky,Utah,Big 12,15,False,2,62,62,"{'minutes': 0, 'seconds': 3}",2,62,62,"{'minutes': 0, 'seconds': 0}","{'minutes': 0, 'seconds': 3}",0,0,Uncategorized,False,6,35,6,35
40175688716,401756887,Cal Poly,Big Sky,Utah,Big 12,16,False,3,75,75,"{'minutes': 15, 'seconds': 0}",3,68,68,"{'minutes': 14, 'seconds': 2}","{'minutes': 0, 'seconds': 58}",3,7,PUNT,False,6,35,6,35
40175688717,401756887,Utah,Big 12,Cal Poly,Big Sky,17,True,3,30,70,"{'minutes': 14, 'seconds': 2}",3,100,0,"{'minutes': 9, 'seconds': 48}","{'minutes': 4, 'seconds': 14}",10,70,TD,True,35,6,42,6
40175688718,401756887,Cal Poly,Big Sky,Utah,Big 12,18,False,3,75,75,"{'minutes': 9, 'seconds': 48}",3,78,78,"{'minutes': 7, 'seconds': 48}","{'minutes': 2, 'seconds': 0}",3,-3,PUNT,False,6,42,6,42
40175688719,401756887,Utah,Big 12,Cal Poly,Big Sky,19,True,3,50,50,"{'minutes': 7, 'seconds': 48}",3,100,0,"{'minutes': 7, 'seconds': 12}","{'minutes': 0, 'seconds': 36}",2,50,TD,True,42,6,49,6
40175688720,401756887,Cal Poly,Big Sky,Utah,Big 12,20,False,3,75,75,"{'minutes': 7, 'seconds': 12}",3,46,46,"{'minutes': 4, 'seconds': 9}","{'minutes': 3, 'seconds': 3}",5,29,PUNT,False,6,49,6,49
40175688721,401756887,Utah,Big 12,Cal Poly,Big Sky,21,True,3,5,95,"{'minutes': 4, 'seconds': 9}",3,100,0,"{'minutes': 1, 'seconds': 24}","{'minutes': 2, 'seconds': 45}",6,95,TD,True,49,6,56,6
40175688722,401756887,Cal Poly,Big Sky,Utah,Big 12,22,True,3,75,75,"{'minutes': 1, 'seconds': 24}",4,33,33,"{'minutes': 11, 'seconds': 13}","{'minutes': 5, 'seconds': 11}",9,42,FG,False,6,56,9,56
40175688723,401756887,Utah,Big 12,Cal Poly,Big Sky,23,True,4,25,75,"{'minutes': 11, 'seconds': 13}",4,100,0,"{'minutes': 2, 'seconds': 12}","{'minutes': 9, 'seconds': 1}",15,75,TD,True,56,9,63,9
40175688724,401756887,Cal Poly,Big Sky,Utah,Big 12,24,False,4,75,75,"{'minutes': 2, 'seconds': 12}",4,52,52,"{'minutes': 0, 'seconds': 10}","{'minutes': 2, 'seconds': 2}",6,21,DOWNS,False,9,63,9,63
40175688725,401756887,Utah,Big 12,Cal Poly,Big Sky,25,False,4,54,46,"{'minutes': 0, 'seconds': 10}",4,53,47,"{'minutes': 0, 'seconds': 0}","{'minutes': 0, 'seconds': 10}",1,-1,END OF GAME,True,63,9,63,9
4017568951,401756895,Wyoming,Mountain West,Utah,Big 12,1,False,1,25,75,"{'minutes': 15, 'seconds': 0}",1,26,74,"{'minutes': 14, 'seconds': 8}","{'minutes': 0, 'seconds': 52}",3,1,PUNT,True,0,0,0,0
4017568952,401756895,Utah,Big 12,Wyoming,Mountain West,2,True,1,73,73,"{'minutes': 14, 'seconds': 8}",1,25,25,"{'minutes': 10, 'seconds': 22}","{'minutes': 3, 'seconds': 46}",9,48,FG,False,0,0,3,0
4017568953,401756895,Wyoming,Mountain West,Utah,Big 12,3,False,1,40,60,"{'minutes': 10, 'seconds': 22}",1,59,41,"{'minutes': 6, 'seconds': 12}","{'minutes': 4, 'seconds': 10}",7,19,PUNT,True,0,3,0,3
4017568954,401756895,Utah,Big 12,Wyoming,Mountain West,4,False,1,87,87,"{'minutes': 6, 'seconds': 12}",1,27,27,"{'minutes': 1, 'seconds': 41}","{'minutes': 4, 'seconds': 31}",10,60,MISSED FG,False,3,0,3,0
4017568955,401756895,Wyoming,Mountain West,Utah,Big 12,5,False,1,27,73,"{'minutes': 1, 'seconds': 41}",2,54,46,"{'minutes': 14, 'seconds': 16}","{'minutes': 2, 'seconds': 25}",7,27,PUNT,True,0,3,0,3
4017568956,401756895,Utah,Big 12,Wyoming,Mountain West,6,False,2,99,99,"{'minutes': 14, 'seconds': 16}",2,27,27,"{'minutes': 7, 'seconds': 52}","{'minutes': 6, 'seconds': 24}",16,72,MISSED FG,False,3,0,3,0
4017568957,401756895,Wyoming,Mountain West,Utah,Big 12,7,False,2,27,73,"{'minutes': 7, 'seconds': 52}",2,35,65,"{'minutes': 6, 'seconds': 44}","{'minutes': 1, 'seconds': 8}",3,8,PUNT,True,0,3,0,3
4017568958,401756895,Utah,Big 12,Wyoming,Mountain West,8,False,2,73,73,"{'minutes': 6, 'seconds': 44}",2,65,65,"{'minutes': 4, 'seconds': 49}","{'minutes': 1, 'seconds': 55}",3,8,PUNT,False,3,0,3,0
4017568959,401756895,Wyoming,Mountain West,Utah,Big 12,9,False,2,21,79,"{'minutes': 4, 'seconds': 49}",2,46,54,"{'minutes': 3, 'seconds': 19}","{'minutes': 1, 'seconds': 30}",3,25,FUMBLE,True,0,3,0,3
40175689510,401756895,Utah,Big 12,Wyoming,Mountain West,10,False,2,46,46,"{'minutes': 3, 'seconds': 19}",2,3,3,"{'minutes': 2, 'seconds': 2}","{'minutes': 1, 'seconds': 17}",4,43,FUMBLE,False,3,0,3,0
40175689511,401756895,Wyoming,Mountain West,Utah,Big 12,11,False,2,3,97,"{'minutes': 2, 'seconds': 2}",2,12,88,"{'minutes': 1, 'seconds': 28}","{'minutes': 0, 'seconds': 34}",3,9,PUNT,True,0,3,0,3
40175689512,401756895,Utah,Big 12,Wyoming,Mountain West,12,False,2,55,55,"{'minutes': 1, 'seconds': 28}",2,29,29,"{'minutes': 0, 'seconds': 3}","{'minutes': 1, 'seconds': 25}",10,26,MISSED FG,False,3,0,3,0
40175689513,401756895,Wyoming,Mountain West,Utah,Big 12,13,False,2,29,71,"{'minutes': 0, 'seconds': 3}",2,28,72,"{'minutes': 0, 'seconds': 0}","{'minutes': 0, 'seconds': 3}",1,-1,END OF HALF,True,0,3,0,3
40175689514,401756895,Utah,Big 12,Wyoming,Mountain West,14,True,3,83,83,"{'minutes': 14, 'seconds': 54}",3,0,0,"{'minutes': 10, 'seconds': 46}","{'minutes': 4, 'seconds': 8}",10,83,TD,False,3,0,10,0
40175689515,401756895,Wyoming,Mountain West,Utah,Big 12,15,False,3,25,75,"{'minutes': 10, 'seconds': 46}",3,45,55,"{'minutes': 7, 'seconds': 46}","{'minutes': 3, 'seconds': 0}",6,20,PUNT,True,0,10,0,10
40175689516,401756895,Utah,Big 12,Wyoming,Mountain West,16,True,3,80,80,"{'minutes': 7, 'seconds': 46}",3,2,2,"{'minutes': 0, 'seconds': 23}","{'minutes': 7, 'seconds': 23}",19,78,TD,False,10,0,17,0
40175689517,401756895,Wyoming,Mountain West,Utah,Big 12,17,False,3,25,75,"{'minutes': 0, 'seconds': 23}",4,57,43,"{'minutes': 9, 'seconds': 58}","{'minutes': 5, 'seconds': 25}",13,32,INT,True,0,17,0,17
40175689518,401756895,Utah,Big 12,Wyoming,Mountain West,18,True,4,18,18,"{'minutes': 9, 'seconds': 58}",4,0,0,"{'minutes': 8, 'seconds': 35}","{'minutes': 1, 'seconds': 23}",3,18,TD,False,17,0,24,0
40175689519,401756895,Wyoming,Mountain West,Utah,Big 12,19,True,4,25,75,"{'minutes': 8, 'seconds': 35}",4,100,0,"{'minutes': 4, 'seconds': 23}","{'minutes': 4, 'seconds': 12}",8,75,TD,True,0,24,6,24
40175689520,401756895,Utah,Big 12,Wyoming,Mountain West,20,True,4,75,75,"{'minutes': 4, 'seconds': 23}",4,0,0,"{'minutes': 1, 'seconds': 11}","{'minutes': 3, 'seconds': 12}",6,75,TD,False,24,6,31,6
40175689521,401756895,Wyoming,Mountain West,Utah,Big 12,21,False,4,25,75,"{'minutes': 1, 'seconds': 12}",4,39,61,"{'minutes': 0, 'seconds': 0}","{'minutes': 1, 'seconds': 12}",3,14,END OF GAME,True,6,31,6,31
4017569012,401756901,Utah,Big 12,Texas Tech,Big 12,1,False,1,25,75,"{'minutes': 15, 'seconds': 0}",1,32,68,"{'minutes': 13, 'seconds': 26}","{'minutes': 1, 'seconds': 46}",3,7,PUNT,True,0,0,0,0
4017569013,401756901,Texas Tech,Big 12,Utah,Big 12,2,True,1,85,85,"{'minutes': 13, 'seconds': 11}",1,3,3,"{'minutes': 0, 'seconds': 0}","{'minutes': 3, 'seconds': 1}",7,85,TD,False,0,0,7,0
4017569015,401756901,Utah,Big 12,Texas Tech,Big 12,3,False,1,25,75,"{'minutes': 10, 'seconds': 13}",1,46,54,"{'minutes': 7, 'seconds': 40}","{'minutes': 2, 'seconds': 44}",6,21,DOWNS,True,0,7,0,7
4017569016,401756901,Texas Tech,Big 12,Utah,Big 12,4,False,1,46,46,"{'minutes': 7, 'seconds': 29}",1,44,44,"{'minutes': 5, 'seconds': 56}","{'minutes': 1, 'seconds': 43}",3,2,PUNT,False,7,0,7,0
4017569017,401756901,Utah,Big 12,Texas Tech,Big 12,5,False,1,26,74,"{'minutes': 5, 'seconds': 46}",1,44,56,"{'minutes': 4, 'seconds': 2}","{'minutes': 1, 'seconds': 52}",6,74,TD,True,0,7,0,7
4017569018,401756901,Texas Tech,Big 12,Utah,Big 12,6,False,1,54,54,"{'minutes': 3, 'seconds': 54}",1,54,54,"{'minutes': 3, 'seconds': 49}","{'minutes': 0, 'seconds': 11}",2,0,INT,False,7,0,7,0
4017569019,401756901,Utah,Big 12,Texas Tech,Big 12,7,False,1,30,70,"{'minutes': 3, 'seconds': 43}",1,49,51,"{'minutes': 1, 'seconds': 18}","{'minutes': 2, 'seconds': 36}",5,19,FUMBLE,True,0,7,0,7
40175690110,401756901,Texas Tech,Big 12,Utah,Big 12,8,False,1,53,53,"{'minutes': 1, 'seconds': 7}",2,59,59,"{'minutes': 14, 'seconds': 29}","{'minutes': 1, 'seconds': 52}",3,-6,PUNT,False,7,0,7,0
