"team","conference","tier","logo_url","wordmark_url","primary","secondary"
"Georgia","SEC","P5","http://a.espncdn.com/i/teamlogos/ncaa/500/61.png","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/georgia_bulldogs_logo_wordmark_20156350.png","#CC0000","#000000"
"Kentucky","SEC","P5","http://a.espncdn.com/i/teamlogos/ncaa/500/96.png","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/kentucky_wildcats_logo_wordmark_20162011.png","#005DAA","#ffffff"
"LSU","SEC","P5","http://a.espncdn.com/i/teamlogos/ncaa/500/99.png","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/lsu_tigers_logo_wordmark_20029527.png","#22005c","#fdd023"
"Mississippi State","SEC","P5","http://a.espncdn.com/i/teamlogos/ncaa/500/344.png","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/8440_mississippi_state_bulldogs-wordmark-2009.png","#762123","#c8c8c8"
"Missouri","SEC","P5","http://a.espncdn.com/i/teamlogos/ncaa/500/142.png","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/missouri_tigers_logo_wordmark_2018_sportslogosnet-1762.png","#000000","#000000"
"Oklahoma","SEC","P5","http://a.espncdn.com/i/teamlogos/ncaa/500/201.png","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/oklahoma_sooners_logo_wordmark_2008_sportslogosnet-1138.png","#7b0000","#cccccc"
"Ole Miss","SEC","P5","http://a.espncdn.com/i/teamlogos/ncaa/500/145.png","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/mississippi_rebels_logo_wordmark_20206855.png","#001148","#00205b"
"South Carolina","SEC","P5","http://a.espncdn.com/i/teamlogos/ncaa/500/2579.png","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/south_carolina_gamecocks_logo_alternate_2008_sportslogosnet-4735.png","#670010","#000000"
"Tennessee","SEC","P5","http://a.espncdn.com/i/teamlogos/ncaa/500/2633.png","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/tennessee_volunteers_logo_wordmark_20052034.png","#EE9627","#ffffff"
"Texas","SEC","P5","http://a.espncdn.com/i/teamlogos/ncaa/500/251.png","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/texas_longhorns_logo_wordmark_2000_sportslogosnet-1899.png","#EE7524","#f0f0f0"
"Texas A&M","SEC","P5","http://a.espncdn.com/i/teamlogos/ncaa/500/245.png","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/2346_texas_a&m_aggies-wordmark-2001.png","#5C0025","#ffffff"
"Vanderbilt","SEC","P5","http://a.espncdn.com/i/teamlogos/ncaa/500/238.png","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/vanderbilt_commodores_logo_wordmark_2012_sportslogosnet-9359.png","#000000","#231f20"
"App State","Sun Belt",NA,NA,NA,NA,NA
"Arkansas State","Sun Belt","G5","http://a.espncdn.com/i/teamlogos/ncaa/500/2032.png","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/arkansas_state_red_wolves_logo_secondary_2017_sportslogosnet-9157.png","#e81018","#000000"
"Coastal Carolina","Sun Belt","G5","http://a.espncdn.com/i/teamlogos/ncaa/500/324.png","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/coastal_carolina_chanticleers_logo_wordmark_2016_sportslogosnet-2620.png","#007073","#876447"
"Georgia Southern","Sun Belt","G5","http://a.espncdn.com/i/teamlogos/ncaa/500/290.png","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/georgia_southern_eagles_logo_wordmark_2016_sportslogosnet-9844.png","#003775","#f0f0f0"
"Georgia State","Sun Belt","G5","http://a.espncdn.com/i/teamlogos/ncaa/500/2247.png","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/georgia_state_panthers_logo_wordmark_20159932.png","#1e539a","#ebebeb"
"James Madison","Sun Belt","G5","http://a.espncdn.com/i/teamlogos/ncaa/500/256.png","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/3393_james_madison_dukes-wordmark-2017.png","#450084","#cbb778"
"Louisiana","Sun Belt","G5","http://a.espncdn.com/i/teamlogos/ncaa/500/309.png","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/louisiana_ragin_cajuns_logo_wordmark_2018_sportslogosnet-9665.png","#ce2842","#ffffff"
"Marshall","Sun Belt","G5","http://a.espncdn.com/i/teamlogos/ncaa/500/276.png","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/4715_marshall_thundering_herd-wordmark-2001.png","#186329","#be854c"
"Old Dominion","Sun Belt","G5","http://a.espncdn.com/i/teamlogos/ncaa/500/295.png","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/old_dominion_monarchs_logo_wordmark_20027264.png","#00507d","#a1d2f1"
"South Alabama","Sun Belt","G5","http://a.espncdn.com/i/teamlogos/ncaa/500/6.png","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/9070_south_alabama_jaguars-wordmark-2008.png","#003E7E","#ffffff"
"Southern Miss","Sun Belt","hoopR","https://a.espncdn.com/i/teamlogos/ncaa/500/2572.png","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/3959_southern_miss_golden_eagles-wordmark-2003.png","#FFAA3C","#ffc423"
"Texas State","Sun Belt","G5","http://a.espncdn.com/i/teamlogos/ncaa/500/326.png","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/texas_state_bobcats_logo_secondary_20082403.png","#4e1719","#b4975a"
"Troy","Sun Belt","G5","http://a.espncdn.com/i/teamlogos/ncaa/500/2653.png","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/troy_trojans_logo_wordmark_2016_sportslogosnet-8357.png","#AE0210","#88898c"
"UL Monroe","Sun Belt","hoopR","https://a.espncdn.com/i/teamlogos/ncaa/500/2433.png",NA,"#231F20","#b18445"
